Manufacturer,Typecode,nd,vd,"P_g,F","d_Pg,F"
Ohara,S-LAH59,1.816,46.6,0.5568,-0.0092
Ohara,L-LAH84,1.8084,40.55,0.5692,-0.0067
Ohara,S-NPH1,1.8081,22.8,0.6307,0.0261
Hikari,J-SFH1,1.8081,22.74,0.6288,0.0226
Hoya,FD225,1.8081,22.76,0.628451,0.0213
Ohara,L-LAH53,1.8063,40.91,0.5691,-0.0062
Hoya,NbFD15,1.8061,33.27,0.58877,0
Hikari,J-LASFH6,1.8061,33.34,0.5904,0.002
Hoya,M-NBFD130,1.8061,40.73,0.568687,-0.0056
Hoya,NbFD13,1.8061,40.74,0.566953,-0.0078
Hikari,J-LASF03,1.8061,40.97,0.5688,-0.0068
Ohara,S-LAH53,1.8061,40.9,0.5701,-0.0052
Hikari,Q-LASF03S,1.806,40.74,0.569,-0.007
Ohara,S-TIH6,1.8052,25.4,0.6161,0.0158
Hikari,J-SF6,1.8052,25.45,0.6157,0.014
Hikari,J-SF6HS,1.8052,25.45,0.6157,0.014
Hoya,FD60,1.8052,25.46,0.615555,0.0132
Hoya,NbFD3,1.8045,39.64,0.57171,-0.0055
Hikari,J-LASF013,1.8044,39.61,0.5719,-0.006
Ohara,S-LAH63,1.8044,39.6,0.5729,-0.0045
Hoya,TaF3D,1.8042,46.5,0.557225,-0.0074
Hoya,TaF3,1.8042,46.5,0.557803,-0.0066
Ohara,S-LAH65V,1.804,46.6,0.5573,-0.0088
Hikari,J-LASF015,1.804,46.6,0.5575,-0.0087
Hikari,Q-SF6S,1.803,25.53,0.6153,0.0138
Hoya,M-TAF31,1.8014,45.45,0.55814,-0.0084
Hikari,J-LAF016,1.801,34.92,0.5853,-0.0004
Ohara,S-LAM66,1.801,35,0.5864,0.0015
Ohara,S-NBH55,1.8,29.9,0.6017,0.0085
Hikari,J-LASF02,1.7995,42.09,0.5667,-0.007
Ohara,S-LAH52,1.7995,42.2,0.5672,-0.006
Hoya,NbFD12,1.7995,42.34,0.565148,-0.0072
Hikari,Q-LASFPH3S,1.7953,45.25,0.5589,-0.0095
Hikari,J-LAFH3,1.795,28.69,0.6065,0.0103
Hikari,J-LASF017,1.795,45.31,0.5598,-0.0085
Hoya,TaF2,1.7945,45.39,0.557714,-0.0094
Ohara,S-LAM73,1.7936,37.1,0.5828,0.0013
Hikari,Q-LASFH12S,1.7906,44.98,0.5596,-0.0093
Ohara,S-NBH58,1.7888,28.4,0.6009,0.0054
Ohara,S-LAH64,1.788,47.4,0.5559,-0.0089
Hikari,J-LASF014,1.788,47.35,0.5559,-0.009
Hoya,TaF4,1.788,47.49,0.553948,-0.0091
Hoya,NbFD11,1.7859,43.94,0.561207,-0.0081
Hikari,J-LASF01,1.7859,44.17,0.5625,-0.0078
Ohara,S-LAH51,1.7859,44.2,0.5631,-0.0069
Ohara,S-TIH11,1.7847,25.7,0.6161,0.0162
Hikari,J-SF11,1.7847,25.64,0.6157,0.0144
Hoya,FD110,1.7847,25.72,0.615864,0.0138
Hikari,J-SFS3,1.7847,26.27,0.6131,0.0128
Ohara,S-TIH23,1.7847,26.3,0.6135,0.0146
Ohara,S-NPH7,1.7783,23.9,0.6248,0.022
Hikari,Q-LASFH11S,1.7739,47.25,0.5557,-0.0094
Hoya,M-TAF401,1.7738,47.17,0.556098,-0.0078
Hoya,M-TAF1,1.7725,49.46,0.554773,-0.0054
Hoya,M-TAF105,1.7725,49.5,0.55157,-0.0073
Hikari,J-LASF016,1.7725,49.62,0.5518,-0.0093
Hoya,TaF1,1.7725,49.63,0.550771,-0.0086
Ohara,S-LAH66,1.7725,49.6,0.552,-0.0092
Hoya,NbFD29,1.7705,29.74,0.595137,0.0003
